year,district,migration_background,benefit_recipients,households_children,average_age,residence_duration
2014,01 Altstadt - Lehel,15.2,1.7,10.56,42.1,10.5
2014,02 Ludwigsvorstadt - Isarvorstadt,14.8,3.2,10.52,38.7,9.2
2014,03 Maxvorstadt,15.2,2.3,7.79,38.7,9.6
2014,04 Schwabing - West,16.6,2.2,11.53,41.5,11.0
2014,05 Au - Haidhausen,16.1,2.5,13.19,39.8,10.2
2014,06 Sendling,17.0,3.9,11.21,40.5,11.2
2014,07 Sendling - Westpark,19.7,3.9,11.04,43.0,12.8
2014,08 Schwanthalerhöhe,20.7,4.2,11.69,37.4,9.1
2014,09 Neuhausen - Nymphenburg,17.7,2.8,12.35,41.6,11.3
2014,10 Moosach,23.3,5.0,12.6,42.8,13.6
2014,11 Milbertshofen - Am Hart,30.6,6.1,10.9,40.5,12.5
2014,12 Schwabing - Freimann,20.2,3.2,12.37,41.3,11.7
2014,13 Bogenhausen,18.4,2.2,14.56,44.1,12.9
2014,14 Berg am Laim,23.2,5.3,11.5,42.3,12.6
2014,15 Trudering - Riem,21.4,3.1,22.65,40.2,11.9
2014,16 Ramersdorf - Perlach,28.4,5.8,12.96,43.8,14.2
2014,17 Obergiesing - Fasangarten,19.9,4.2,11.1,41.0,11.1
2014,18 Untergiesing - Harlaching,15.2,3.5,12.54,43.7,12.3
2014,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,17.9,2.9,13.25,45.1,13.3
2014,20 Hadern,21.1,3.8,14.59,44.6,13.9
2014,21 Pasing - Obermenzing,15.9,2.7,17.24,43.1,12.9
2014,22 Aubing - Lochhausen - Langwied,20.3,3.7,17.22,44.0,15.2
2014,23 Allach - Untermenzing,15.3,2.6,20.81,43.1,14.4
2014,24 Feldmoching - Hasenbergl,25.8,5.5,16.5,42.9,15.4
2014,25 Laim,17.9,3.7,9.85,43.8,13.2
2015,01 Altstadt - Lehel,,1.7,10.76,42.1,10.5
2015,02 Ludwigsvorstadt - Isarvorstadt,,2.9,10.83,38.6,9.2
2015,03 Maxvorstadt,,2.2,8.14,38.7,9.7
2015,04 Schwabing - West,,2.3,11.74,41.3,11.1
2015,05 Au - Haidhausen,,2.4,13.49,39.8,10.4
2015,06 Sendling,,3.9,11.15,40.5,11.3
2015,07 Sendling - Westpark,,4.0,11.15,42.7,12.7
2015,08 Schwanthalerhöhe,,4.1,12.0,37.5,9.3
2015,09 Neuhausen - Nymphenburg,,2.8,12.64,41.6,11.4
2015,10 Moosach,,5.1,12.68,42.8,13.7
2015,11 Milbertshofen - Am Hart,,6.5,11.02,40.5,12.7
2015,12 Schwabing - Freimann,,3.4,12.63,41.1,11.7
2015,13 Bogenhausen,,2.1,14.43,44.2,13.0
2015,14 Berg am Laim,,5.4,11.44,42.2,12.7
2015,15 Trudering - Riem,,3.3,22.41,40.3,12.1
2015,16 Ramersdorf - Perlach,,6.0,12.74,43.8,14.3
2015,17 Obergiesing - Fasangarten,,4.1,11.26,40.8,11.1
2015,18 Untergiesing - Harlaching,,3.3,12.52,43.9,12.5
2015,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,,2.9,13.44,45.1,13.3
2015,20 Hadern,,3.9,14.49,44.7,14.1
2015,21 Pasing - Obermenzing,,2.9,17.26,43.2,13.1
2015,22 Aubing - Lochhausen - Langwied,,3.9,16.95,43.8,15.3
2015,23 Allach - Untermenzing,,2.5,20.46,43.2,14.6
2015,24 Feldmoching - Hasenbergl,,5.7,16.47,42.8,15.5
2015,25 Laim,,3.8,10.03,43.8,13.3
2016,01 Altstadt - Lehel,15.7,1.6,11.06,42.1,10.6
2016,02 Ludwigsvorstadt - Isarvorstadt,15.5,2.6,11.12,38.7,9.4
2016,03 Maxvorstadt,16.1,2.1,8.24,38.8,9.8
2016,04 Schwabing - West,17.7,2.1,12.01,41.3,11.1
2016,05 Au - Haidhausen,17.0,2.5,13.76,39.9,10.5
2016,06 Sendling,17.6,3.6,11.37,40.6,11.4
2016,07 Sendling - Westpark,20.8,4.0,11.59,42.6,12.7
2016,08 Schwanthalerhöhe,21.3,3.9,11.98,37.7,9.6
2016,09 Neuhausen - Nymphenburg,18.7,2.7,12.8,41.6,11.5
2016,10 Moosach,24.5,5.0,12.63,42.7,13.8
2016,11 Milbertshofen - Am Hart,31.8,6.3,10.95,40.6,12.8
2016,12 Schwabing - Freimann,21.2,3.2,13.04,41.0,11.6
