year,district,median_rent,median_sqm_rent
2018,01 Altstadt - Lehel,690.0,39.5
2018,02 Ludwigsvorstadt - Isarvorstadt,650.0,36.4
2018,03 Maxvorstadt,610.0,35.6
2018,04 Schwabing - West,600.0,35.4
2018,05 Au - Haidhausen,610.0,36.4
2018,06 Sendling,550.0,33.9
2018,07 Sendling - Westpark,550.0,32.9
2018,08 Schwanthalerhöhe,560.0,35.0
2018,09 Neuhausen - Nymphenburg,600.0,34.6
2018,10 Moosach,520.0,32.2
2018,11 Milbertshofen - Am Hart,550.0,35.0
2018,12 Schwabing - Freimann,550.0,34.4
2018,13 Bogenhausen,600.0,36.7
2018,14 Berg am Laim,550.0,34.0
2018,15 Trudering - Riem,550.0,36.7
2018,16 Ramersdorf - Perlach,540.0,35.0
2018,17 Obergiesing - Fasangarten,550.0,34.4
2018,18 Untergiesing - Harlaching,550.0,34.3
2018,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,560.0,35.0
2018,20 Hadern,550.0,36.9
2018,21 Pasing - Obermenzing,510.0,31.8
2018,22 Aubing - Lochhausen - Langwied,512.0,30.6
2018,23 Allach - Untermenzing,542.0,37.1
2018,24 Feldmoching - Hasenbergl,550.0,35.7
2018,25 Laim,570.0,37.5
2019,01 Altstadt - Lehel,720.0,39.6
2019,02 Ludwigsvorstadt - Isarvorstadt,650.0,37.9
2019,03 Maxvorstadt,630.0,36.7
2019,04 Schwabing - West,620.0,37.5
2019,05 Au - Haidhausen,650.0,38.2
2019,06 Sendling,600.0,36.7
2019,07 Sendling - Westpark,515.0,34.1
2019,08 Schwanthalerhöhe,600.0,36.3
2019,09 Neuhausen - Nymphenburg,600.0,35.4
2019,10 Moosach,532.0,35.4
2019,11 Milbertshofen - Am Hart,565.0,35.8
2019,12 Schwabing - Freimann,560.0,36.9
2019,13 Bogenhausen,600.0,37.8
2019,14 Berg am Laim,594.0,37.8
2019,15 Trudering - Riem,552.0,37.5
2019,16 Ramersdorf - Perlach,550.0,35.7
2019,17 Obergiesing - Fasangarten,560.0,35.6
2019,18 Untergiesing - Harlaching,590.0,35.3
2019,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,600.0,35.3
2019,20 Hadern,550.0,33.3
2019,21 Pasing - Obermenzing,545.0,33.8
2019,22 Aubing - Lochhausen - Langwied,540.0,33.3
2019,23 Allach - Untermenzing,550.0,35.7
2019,24 Feldmoching - Hasenbergl,550.0,37.5
2019,25 Laim,600.0,36.3
2020,01 Altstadt - Lehel,700.0,40.6
2020,02 Ludwigsvorstadt - Isarvorstadt,680.0,40.0
2020,03 Maxvorstadt,620.0,37.5
2020,04 Schwabing - West,650.0,37.5
2020,05 Au - Haidhausen,650.0,39.0
2020,06 Sendling,630.0,37.9
2020,07 Sendling - Westpark,550.0,36.4
2020,08 Schwanthalerhöhe,600.0,37.3
2020,09 Neuhausen - Nymphenburg,610.0,37.5
2020,10 Moosach,550.0,36.9
2020,11 Milbertshofen - Am Hart,580.0,38.2
2020,12 Schwabing - Freimann,600.0,36.9
2020,13 Bogenhausen,610.0,41.5
2020,14 Berg am Laim,550.0,37.5
2020,15 Trudering - Riem,550.0,34.1
2020,16 Ramersdorf - Perlach,576.0,37.1
2020,17 Obergiesing - Fasangarten,600.0,36.7
2020,18 Untergiesing - Harlaching,595.0,36.9
2020,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,595.0,36.4
2020,20 Hadern,520.0,30.8
2020,21 Pasing - Obermenzing,550.0,33.3
